ticker,comnam,siccd,naics4,aiie,industry,bucket,alpha_cg,beta_cg,n_est_cg,car_0_1_cg,car_0_5_cg,car_0_10_cg,car_m1_1_cg,car_pre_cg,alpha_g4,beta_g4,n_est_g4,car_0_1_g4,car_0_5_g4,car_0_10_g4,car_m1_1_g4,car_pre_g4,ME,mom,ceq,emp,at,sale,bm,lnme,lnemp,aiie_w,z_aiie,lnme_w,z_lnme,mom_w,z_mom,bm_w,z_bm,lnemp_w,z_lnemp,car_0_1_cg_w,car_0_5_cg_w,car_0_10_cg_w,car_m1_1_cg_w,car_pre_cg_w,car_0_1_g4_w,car_0_5_g4_w,car_0_10_g4_w,car_m1_1_g4_w,car_pre_g4_w
JJSF,J & J SNACK FOODS CORP,2052,3119,-0.8538909,Other Food Manufacturing,user,0.0004751467512051,0.378818653761324,207.0,0.0128187639627965,-0.0154879115895023,-0.0298748416698538,-0.0077475417100101,0.1675975773947191,0.0003897905865659,0.4511029832858775,207,0.015405688034198,0.0217795903672572,0.0513759098090716,0.0221494144898517,-0.0157982358841317,2836916.5900000003,-0.004010387143159266,845.654,4.3,1122.219,1144.579,0.2980891306360191,14.85822831258331,1.4586150226995167,-0.8538909,-1.562681965414625,14.85822831258331,0.6440814257471716,-0.004010387143159266,0.25518401646832833,0.2980891306360191,-0.45414436706547445,1.4586150226995167,0.6632300859421085,0.0128187639627965,-0.0154879115895023,-0.0298748416698538,-0.0077475417100101,0.1675975773947191,0.015405688034198,0.0217795903672572,0.0513759098090716,0.0221494144898517,-0.0157982358841317
PLXS,PLEXUS CORP,3670,3344,0.6828295,Semiconductor and Other Electronic Component Manufacturing,supplier,0.0012841276244906,0.8797644565268304,207.0,0.0130167667306503,0.0136877326634145,0.002617448571647,0.0092721838618156,0.0034363791101281,0.0016703962745619,0.8687014013233002,207,-0.0101440904992589,-0.0076748532852015,-0.0333985741480863,-0.0279342498325212,0.0046144807082283,2723613.6,0.21272264106057426,1028.232,19.2,2461.893,3368.865,0.3775249176314878,14.817470085969582,2.954910279033736,0.6828295,0.02919246005449687,14.817470085969582,0.6273156783290397,0.21272264106057426,0.8468188953853094,0.3775249176314878,-0.38462974063223077,2.954910279033736,1.2673349593894019,0.0130167667306503,0.0136877326634145,0.002617448571647,0.0092721838618156,0.0034363791101281,-0.0101440904992589,-0.0076748532852015,-0.0333985741480863,-0.0279342498325212,0.0046144807082283
ORCL,ORACLE CORP,7372,5112,1.966309,Software Publishers,supplier,-0.0004931345589538,0.920758995365621,207.0,0.0136641309772798,-0.0154623540508213,0.0117390443213001,0.0082073102287856,0.0410253550129493,0.0010674219672933,0.8529301771452892,207,-0.0308070360339228,-0.0035248700446644,0.0234289964474583,-0.01900208031242,-0.0240982362698764,210449629.70999998,0.07385437654962934,-6220.0,143.0,109297.0,42440.0,-0.02955576595012865,19.16475689366398,4.962844630259907,1.966309,1.3587369833548288,18.943003135300827,2.324338606381189,0.07385437654962934,0.4677381916260617,-0.02955576595012865,-0.7408679390273665,4.962844630259907,2.0780057959124694,0.0136641309772798,-0.0154623540508213,0.0117390443213001,0.0082073102287856,0.0410253550129493,-0.0308070360339228,-0.0035248700446644,0.0234289964474583,-0.01900208031242,-0.0240982362698764
MSFT,MICROSOFT CORP,7370,5112,1.966309,Software Publishers,supplier,-8.188422237745947e-05,1.1948802810447652,207.0,0.0246051271540259,0.0269996671259251,0.0617037989726831,0.0196610023055007,0.0049906565999002,-0.0004001307101164,1.2491455405743674,207,0.0374406517069015,0.0376933437125413,0.0547285888174315,0.0631516353017174,0.0410456770338379,1730406817.49,-0.1597294866352239,141988.0,181.0,333779.0,168088.0,0.08205469289930173,21.271622372430084,5.198497031265826,1.966309,1.3587369833548288,18.943003135300827,2.324338606381189,-0.1597294866352239,-0.16989586792495376,0.08205469289930173,-0.6431971077003774,5.081626587547513,2.125962079253799,0.0246051271540259,0.0269996671259251,0.0617037989726831,0.0196610023055007,0.0049906565999002,0.0374406517069015,0.0376933437125413,0.0547285888174315,0.0631516353017174,0.0410456770338379
TROW,T ROWE PRICE GROUP INC,6211,5259,2.07022,Other Investment Pools and Funds,user,-0.0011984962872079,1.3304444609400374,207.0,0.0170109578632312,0.0230755611617401,-0.0115276827566249,0.0139983048293785,-0.02325026252398,7.042341158935617e-06,1.516411084495732,207,0.0016050857489258,-0.0034377781351389,-0.0133559067072156,0.0216248849475346,-0.0053678047892997,23723044.4,-0.11842370421906967,9022.7,7.529,12509.0,7671.9,0.38033482751480246,16.98195747124415,2.0187622308679853,2.07022,1.4663774255751063,16.98195747124415,1.5176696462571397,-0.11842370421906967,-0.05713990368225232,0.38033482751480246,-0.38217077543231603,2.0187622308679853,0.8893804107994397,0.0170109578632312,0.0230755611617401,-0.0115276827566249,0.0139983048293785,-0.02325026252398,0.0016050857489258,-0.0034377781351389,-0.0133559067072156,0.0216248849475346,-0.0053678047892997
HON,HONEYWELL INTERNATIONAL INC,3724,3364,0.5189539,Aerospace Product and Parts Manufacturing,user,0.0001023697950378,0.766705969037942,207.0,-0.0197114379242984,-0.0105754682176104,-0.0163364635301405,-0.0148403784783721,0.0124957105624171,0.0009948628800313,0.7417421667458373,207,-0.0326929658027519,-0.0398171674615007,-0.0560764156110635,-0.0325799114502046,0.0214871406444514,137167134.44,0.06490221879943636,18569.0,99.0,64470.0,34392.0,0.13537499398678843,18.736710699662638,4.59511985013459,0.5189539,-0.14056475576590063,18.736710699662638,2.239480967628669,0.06490221879943636,0.443300712897151,0.13537499398678843,-0.5965362643752379,4.59511985013459,1.9295428967482557,-0.0197114379242984,-0.0105754682176104,-0.0163364635301405,-0.0148403784783721,0.0124957105624171,-0.0326929658027519,-0.0398171674615007,-0.0560764156110635,-0.0325799114502046,0.0214871406444514
AMRC,AMERESCO INC,1731,2382,-0.8320791,Building Equipment Contractors,user,0.0015787799138735,1.7480691825588506,207.0,-0.0003538265371565,0.0175892615555715,0.0080760896126433,0.0050439570207937,0.0200784662531488,-6.166972292804843e-05,1.8824938707094492,207,-0.0547930025946969,-0.0684474567970243,-0.0488304041520632,-0.057368366860311,-0.0342907541012745,2046280.3199999998,0.1990473199261935,704.264,1.272,2224.821,1215.697,0.34416789973330736,14.531534224906515,0.24059046491793043,-0.8320791,-1.5400873238692614,14.531534224906515,0.5096970078750446,0.1990473199261935,0.8094881893524262,0.34416789973330736,-0.41382062204505426,0.24059046491793043,0.17147248113821698,-0.0003538265371565,0.0175892615555715,0.0080760896126433,0.0050439570207937,0.0200784662531488,-0.0547930025946969,-0.0684474567970243,-0.0488304041520632,-0.057368366860311,-0.0342907541012745
RGEN,REPLIGEN CORP,2830,3254,0.4637086,Pharmaceutical and Medicine Manufacturing,user,2.6442619362933183e-05,1.505317294641691,207.0,0.0752614995135051,0.0321357420371632,0.0550776041616782,0.0521760129613556,-0.1465347551049005,0.0009460851079319,1.5690079378982875,207,-0.0022261916139304,-0.027634031963904,-0.0562138979693265,0.0186485098697464,0.008171664076613,10132575.315240001,0.16058200845508952,1750.067,1.852,2358.354,670.534,0.1727169002502053,16.131266070493247,0.6162661362239877,0.4637086,-0.1977928502178056,16.131266070493247,1.1677408505091336,0.16058200845508952,0.7044861041450062,0.1727169002502053,-0.5638581886314338,0.6162661362239877,0.3231454233004293,0.0752614995135051,0.0321357420371632,0.0550776041616782,0.0521760129613556,-0.1465347551049005,-0.0022261916139304,-0.027634031963904,-0.0562138979693265,0.0186485098697464,0.008171664076613
DSS,D S S INC,7373,5415,1.860226,Computer Systems Design and Related Services,user,-0.0023632163352436,1.1707794902719506,207.0,-0.0102928129801537,-0.0615179827380542,0.0665162722361432,-0.0614595367041477,0.0542873438073603,-0.0035023556405089,0.9657712335879756,207,-0.0205103446318964,-0.133038803868391,-0.1335817414139366,-0.0596590297097319,0.1307614868329714,31987.8117,-0.44700631399567414,161.776,0.113,282.707,20.275,5.0574262946533475,10.373110224851986,-2.1803674602697964,1.860226,1.2488465864569671,10.373110224851986,-1.2008554924373225,-0.44700631399567414,-0.9541002523683149,5.0574262946533475,3.710773707522119,-2.1803674602697964,-0.8059499058041635,-0.0102928129801537,-0.0615179827380542,0.0665162722361432,-0.0614595367041477,0.0542873438073603,-0.0205103446318964,-0.133038803868391,-0.1335817414139366,-0.0596590297097319,0.1307614868329714
DLHC,D L H HOLDINGS CORP,7363,5613,-0.7234654,Employment Services,substitution,0.0015464193195691,1.0412668424084464,207.0,-0.0525290703818094,-0.1365064397970609,-0.1062201810535888,-0.0482757871706266,0.0370368796812877,-0.0007618153933364,0.6938899888408709,207,-0.0425797370296656,-0.0800056866269985,-0.0259574347440098,-0.0660732504509002,0.0519841965147702,169871.94,-0.13775284524057907,65.608,2.3,197.17,246.094,0.38622034928193555,12.042800138046172,0.8329091229351039,-0.7234654,-1.4275753982869788,12.042800138046172,-0.5140346546095298,-0.13775284524057907,-0.10990433051008257,0.38622034928193555,-0.3770203279768094,0.8329091229351039,0.41061150562364274,-0.0525290703818094,-0.1365064397970609,-0.1062201810535888,-0.0482757871706266,0.0370368796812877,-0.0425797370296656,-0.0800056866269985,-0.0259574347440098,-0.0660732504509002,0.0519841965147702
CLDX,CELLDEX THERAPEUTICS INC,2835,3254,0.4637086,Pharmaceutical and Medicine Manufacturing,user,0.0012212088021102,1.6512782872283736,207.0,0.019621391405756,0.0867336462684192,0.1410268987995366,0.0540487336493436,-0.1047866540936421,0.003059750655043,1.5705269799260368,207,-0.0026945499045778,-0.1666817977073061,-0.2826535986330762,0.0316471920241899,0.0034931175595789,1654623.0000000002,0.14992310232756645,419.476,0.134,444.654,4.651,0.25351756865461195,14.319083746282246,-2.0099154790312257,0.4637086,-0.1977928502178056,14.319083746282246,0.4223062806672038,0.14992310232756645,0.6753895668594355,0.25351756865461195,-0.49314914813298527,-2.0099154790312257,-0.7371326906729493,0.019621391405756,0.0867336462684192,0.1410268987995366,0.0540487336493436,-0.1047866540936421,-0.0026945499045778,-0.1666817977073061,-0.2826535986330762,0.0316471920241899,0.0034931175595789
HVT,HAVERTY FURNITURE COS INC,5722,4431,0.3619018,Electronics and Appliance Stores,user,0.0002560853889421,0.6709663080118413,207.0,0.0497530459200286,0.0348038978799224,0.0133343888583449,0.0442531594642472,-0.0284838461162819,0.0012670435214829,0.6882420944981796,207,-0.0109271731087483,-0.0148390648954048,-0.0564234667940832,-0.0174030426214759,-0.1356085216228914,34692.32,0.11093071242259822,,,,,,10.4542736157904,,0.3619018,-0.30325357115236845,10.4542736157904,-1.1674692284821042,0.11093071242259822,0.5689486700966956,,,,,0.0497530459200286,0.0348038978799224,0.0133343888583449,0.0442531594642472,-0.0284838461162819,-0.0109271731087483,-0.0148390648954048,-0.0564234667940832,-0.0174030426214759,-0.1356085216228914
XOMA,XOMA CORP,2834,3254,0.4637086,Pharmaceutical and Medicine Manufacturing,user,0.0010549283811274,0.9098110648994004,207.0,0.0701565236519971,-0.0894455247480308,-0.0883149700498691,0.0479284947031548,0.1792042886857445,0.0006304019091033,0.8013172314244257,207,-0.0401132988628394,-0.1048626385977504,-0.0123487689075842,-0.0668982199889899,0.0343160589157662,189628.56,-0.13884437917222014,141.827,0.012,166.562,38.16,0.7479200390489703,12.152822490370452,-4.422848629194137,0.4637086,-0.1977928502178056,12.152822490370452,-0.4687773624584459,-0.13884437917222014,-0.11288398502251427,0.7479200390489703,-0.06049524820879745,-4.422848629194137,-1.7113152052169596,0.0701565236519971,-0.0894455247480308,-0.0883149700498691,0.0479284947031548,0.1792042886857445,-0.0401132988628394,-0.1048626385977504,-0.0123487689075842,-0.0668982199889899,0.0343160589157662
